time;EEG1_clean;EEG2_clean
0.0;0.15425065405586982;-0.2637876378601684
0.008;0.15633320303539863;-0.2653057111136836
0.016;0.1262801034234457;-0.24339851605868018
0.023;0.12419755444391692;-0.24188044280516494
0.031;0.11750120055605556;-0.23699913829172417
0.039;0.09116449195388521;-0.21780100499085622
0.047;0.06274523437218599;-0.197084798436473
0.055;0.016768171055706577;-0.16356983634817782
0.062;-0.03337399021983037;-0.12701872775285214
0.07;-0.0747372486279772;-0.09686699692448245
0.078;-0.11818305601565282;-0.06519719284259752
0.086;-0.17412415728050104;-0.024418949239621103
0.094;-0.19584706097433885;-0.00858404719867864
0.102;-0.14153980173974434;-0.04817130230103481
0.109;-0.17204160830097226;-0.02593702249313635
0.117;-0.18498560912741993;-0.01650149821914987
0.125;-0.18245435319861614;-0.018346656225560122
0.133;-0.16118015645405337;-0.03385447351360759
0.141;-0.16742780339263968;-0.029300253753061854
0.148;-0.16118015645405337;-0.03385447351360759
0.156;-0.17620670626002982;-0.022900875986105858
0.164;-0.19792960995386763;-0.0070659739451633926
0.172;-0.15240125358666323;-0.04025385128056358
0.18;-0.173675450331226;-0.02474603399251612
0.188;-0.16742780339263968;-0.029300253753061854
0.195;-0.16326270543358215;-0.032336400260092345
0.203;-0.16742780339263968;-0.029300253753061854
0.211;-0.18915070708647747;-0.013465351712119385
0.219;-0.154483802566192;-0.038735778027048334
0.227;-0.1498699976578594;-0.042099009286973826
0.234;-0.16951035237216847;-0.02778218049954661
0.242;-0.17873796218883364;-0.021055717979695607
0.25;-0.2025434148622002;-0.003702742685237896
0.258;-0.2180186716174517;0.007577939595158838
0.266;-0.24182412429081823;0.024930914889616556
0.273;-0.16460882628140727;-0.03135514600140731
0.281;-0.09944011519989385;-0.07885985212423471
0.289;-0.09899140825061883;-0.07918693687712973
0.297;-0.11148670212779145;-0.07007849735603826
0.305;-0.12859580091329667;-0.05760682657502129
0.312;-0.16742780339263968;-0.029300253753061854
0.32;-0.18498560912741993;-0.01650149821914987
0.328;-0.14778744867833066;-0.04361708254048907
0.336;-0.1364772898821367;-0.051861618313855315
0.344;-0.13855983886166548;-0.05034354506034008
0.352;-0.1494212907085844;-0.04242609403986884
0.359;-0.13900854581094052;-0.05001646030744506
0.367;-0.13900854581094052;-0.05001646030744506
0.375;-0.20209470791292516;-0.004029827438132904
0.383;-0.4282293831342755;0.16081095446922317
0.391;-0.30442732909226355;0.07056549622604931
0.398;0.16094700794373118;-0.26866894237360917
0.406;0.5234715161485838;-0.5329310389962216
0.414;0.5293629412022129;-0.5372255909548633
0.422;0.06142309788614986;-0.19612102756881028
0.43;-0.3340419877444165;0.0921530899171199
0.438;0.7109694250087019;-0.6696075653725624
0.445;0.5475064552913254;-0.5504512983616079
0.453;0.018562998852806767;-0.16487817535975788
0.461;-0.14227622987144797;-0.04763448330620459
0.469;-0.14391007190170174;-0.04644349480558437
0.477;-0.13721371801384033;-0.051324799319025095
0.484;-0.14391007190170174;-0.04644349480558437
0.492;-0.1247184241366677;-0.06043323884011657
0.5;-0.10507806942235864;-0.0747500676275438
0.508;-0.1247184241366677;-0.06043323884011657
0.516;-0.10552677637163374;-0.07442298287464877
0.523;-0.0884176775861285;-0.08689465365566576
0.531;-0.09466532452471482;-0.08234043389512002
0.539;-0.06877732287181948;-0.10121148244309298
0.547;-0.0516682240863143;-0.11368315322410993
0.555;-0.05836457797417563;-0.10880184871066921
0.562;0.00010777921947643931;-0.15142525032005585
0.57;-0.01283622160697126;-0.14198972604606935
0.578;0.025995780872371727;-0.17029629886802883
0.586;0.06482778335171477;-0.19860287168998825
0.594;0.09324704093341393;-0.21931907824437147
0.602;0.09741213889247152;-0.22235522475140196
0.609;0.09324704093341393;-0.21931907824437147
0.617;0.09116449195388521;-0.21780100499085622
0.625;0.11750120055605556;-0.23699913829172417
0.633;0.09786084584174654;-0.222682309504297
0.641;0.0761379421479087;-0.2068474074633545
0.648;0.06735903928051859;-0.2004480296963985
0.656;0.04563613558668081;-0.18461312765545604
0.664;0.001741621249730138;-0.1526162388206761
0.672;-0.031291441240301594;-0.12853680100636738
0.68;-0.07012344371964463;-0.10023022818440795
0.688;-0.09601144537253997;-0.08135917963643499
0.695;-0.12026560499518159;-0.06367911958908228
0.703;-0.12859580091329667;-0.05760682657502129
0.711;-0.14778744867833066;-0.04361708254048907
0.719;-0.115651800086849;-0.06704235084900777
0.727;-0.14153980173974434;-0.04817130230103481
0.734;-0.154483802566192;-0.038735778027048334
0.742;-0.14153980173974434;-0.04817130230103481
0.75;-0.1394572527602156;-0.04968937555455005
0.758;-0.1482361556276057;-0.04328999778759407
0.766;-0.16534525441311093;-0.0308183270065771
0.773;-0.154483802566192;-0.038735778027048334
0.781;-0.1327608988723542;-0.0545706800679908
0.789;-0.13484344785188299;-0.05305260681447555
0.797;-0.15240125358666323;-0.04025385128056358
0.805;-0.12859580091329667;-0.05760682657502129
0.812;-0.12189944702543531;-0.06248813108846203
0.82;-0.12189944702543531;-0.06248813108846203
0.828;-0.13900854581094052;-0.05001646030744506
0.836;-0.15864890052524955;-0.035699631520017844
0.844;-0.1394572527602156;-0.04968937555455005
0.852;-0.17665541320930486;-0.022573791233210853
0.859;-0.21385357365839416;0.004541793088128351
0.867;-0.23557647735223192;0.020376695129070824
0.875;-0.2009095728319465;-0.004893731185858129
0.883;-0.0911099192817788;-0.0849321451382957
0.891;-0.10360521315895142;-0.07582370561720424
0.898;-0.07518595557725224;-0.09653991217158744
0.906;-0.10523905518920515;-0.074632717116584
0.914;-0.1394572527602156;-0.04968937555455005
0.922;-0.17620670626002982;-0.022900875986105858
0.93;-0.1327608988723542;-0.0545706800679908
0.938;-0.11936819109663149;-0.06433328909487229
0.945;-0.1256158380352178;-0.05977906933432654
0.953;-0.15150383968811315;-0.04090802078635359
0.961;-0.14109109479046927;-0.048498387053929816
0.969;-0.14109109479046927;-0.048498387053929816
0.977;-0.13692599683141174;-0.051534533560960306
0.984;-0.3315347161774019;0.09032541530173188
0.992;-0.5258214639896991;0.2319506631425045
1.0;-0.18466363759372711;-0.016736199241069477
